Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2011,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2011,Feb. 2011,Mar. 2011,Apr. 2011,May 2011,Jun. 2011,Jul. 2011,Aug. 2011,Sep. 2011,Oct. 2011,Nov. 2011,Dec. 2011,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","3,29,173","3,30,472","3,79,291","3,73,236","3,84,166","3,80,687","3,77,062","3,86,763","3,67,426","3,71,870","3,83,551","4,43,079","45,06,776",,
,Retail sales and food services excl motor vehicle and parts,"2,72,599","2,69,461","3,05,875","3,05,242","3,16,411","3,12,069","3,09,406","3,17,013","3,01,873","3,07,308","3,20,872","3,73,432","37,11,561",,
,Retail sales and food services excl gasoline stations,"2,91,239","2,93,882","3,35,034","3,27,476","3,36,019","3,33,269","3,28,963","3,38,547","3,22,086","3,26,863","3,40,686","4,00,442","39,74,506",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"2,34,665","2,32,871","2,61,618","2,59,482","2,68,264","2,64,651","2,61,307","2,68,797","2,56,533","2,62,301","2,78,007","3,30,795","31,79,291",,
,"Retail sales, total","2,93,047","2,93,924","3,38,211","3,32,456","3,42,186","3,39,682","3,34,800","3,45,374","3,27,093","3,30,515","3,44,774","4,01,206","40,23,268",,
452311,Warehouse clubs and supercenters,"31,286","31,612","31,853","31,918","32,035","32,221","32,304","32,441","32,677","32,587","32,628","32,478",,,
452319,All other gen. merchandise stores,"4,247","4,328","4,397","4,472","4,362","4,503","4,441","4,467","4,479","4,510","4,621","4,612",,,
453,Miscellaneous stores retailers,"7,866","8,133","7,888","8,076","7,983","8,068","8,167","8,199","8,146","8,065","8,048","7,898",,,
454,Nonstore retailers,"28,829","28,402","28,621","28,928","29,116","29,327","29,356","29,729","29,751","30,541","30,807","30,599",,,
4541,Electronic shopping and mail order houses,"23,207","22,889","23,138","23,296","23,621","23,804","23,859","24,142","24,227","24,925","25,241","25,443",,,
45431,Fuel dealers,"3,383","3,301","3,214","3,377","3,290","3,294","3,312","3,379","3,326","3,378","3,254","2,923",,,
722,Food services and drinking places,"38,720","39,426","39,614","39,631","40,096","40,479","40,520","40,697","41,031","41,149","41,208","40,892",,,
,,,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,,,
"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,,,,,,,,,,,,
"Estimates include data only for businesses with paid employees. Prior to the benchmark report released in April 2025, the Monthly Retail Trade Survey estimates included nonemployers.",,,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
