Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2015,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2015,Feb. 2015,Mar. 2015,Apr. 2015,May 2015,Jun. 2015,Jul. 2015,Aug. 2015,Sep. 2015,Oct. 2015,Nov. 2015,Dec. 2015,TOTAL,
,NOT ADJUSTED,,,,,,,,,,,,,,
,"Retail and food services sales, total","3,91,738","3,81,513","4,38,118","4,31,604","4,56,436","4,41,657","4,51,579","4,49,793","4,24,822","4,38,395","4,37,204","5,06,151","52,49,010",
,Retail sales and food services excl motor vehicle and parts,"3,14,015","3,02,889","3,42,583","3,38,765","3,59,742","3,47,748","3,54,414","3,52,413","3,34,499","3,48,445","3,53,463","4,13,296","41,62,272",
,Retail sales and food services excl gasoline stations,"3,58,677","3,49,308","4,00,608","3,93,765","4,14,302","3,98,904","4,07,712","4,07,869","3,87,246","4,00,380","4,03,240","4,72,586","47,94,597",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"2,80,954","2,70,684","3,05,073","3,00,926","3,17,608","3,04,995","3,10,547","3,10,489","2,96,923","3,10,430","3,19,499","3,79,731","37,07,859",
,"Retail sales, total","3,44,632","3,35,752","3,85,954","3,80,319","4,02,126","3,90,651","3,99,519","3,97,745","3,75,199","3,85,581","3,88,071","4,52,764","46,38,313",
,"Retail sales, total (excl. motor vehicle and parts dealers)","2,66,909","2,57,128","2,90,419","2,87,480","3,05,432","2,96,742","3,02,354","3,00,365","2,84,876","2,95,631","3,04,330","3,59,909","35,51,575",
452,General merchandise stores,"56,552","56,147","56,365","56,222","56,637","56,560","56,926","56,864","56,801","56,624","56,727","57,069",,
4522,Department stores,"9,792","9,557","9,599","9,232","9,244","8,938","8,817","8,662","8,579","8,428","8,292","8,148",,
4523,Gen. merchandise stores incl. warehouse clubs & supercenters,"46,760","46,590","46,766","46,990","47,393","47,622","48,109","48,202","48,222","48,196","48,435","48,921",,
452311,Warehouse clubs and supercenters,"41,298","41,129","41,212","41,506","41,828","42,064","42,521","42,556","42,584","42,533","42,753","43,183",,
452319,All other gen. merchandise stores,"5,462","5,461","5,554","5,484","5,565","5,558","5,588","5,646","5,638","5,663","5,682","5,738",,
453,Miscellaneous stores retailers,"8,785","8,708","8,673","8,719","8,908","8,933","8,961","9,055","8,683","8,693","8,805","8,743",,
454,Nonstore retailers,"37,717","38,632","38,404","38,648","38,541","38,615","39,425","39,307","39,752","40,018","39,901","40,111",,
4541,Electronic shopping and mail order houses,"32,464","32,811","32,948","33,427","33,528","33,518","34,318","34,379","34,796","35,089","35,302","35,643",,
45431,Fuel dealers,"2,943","3,509","3,080","2,775","2,672","2,676","2,651","2,529","2,506","2,471","2,144","1,945",,
722,Food services and drinking places,"49,690","49,525","49,966","50,577","50,710","50,752","50,989","51,279","51,316","51,627","51,773","52,598",,
,,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,,
"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,,,,,,,,,,,
"Estimates include data only for businesses with paid employees. Prior to the benchmark report released in April 2025, the Monthly Retail Trade Survey estimates included nonemployers.",,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
